date,product_id,product_name,category,sales_qty,unit_price,stock_on_hand,reorder_point,promo,supplier_lead_days
2025-11-20,SKU-114,GoPro Hero 13 Black,Cameras,2,54999,98,25,0,18
2025-11-20,SKU-108,Tesla Wireless Charging Pad 45W,Charging,15,5999,235,50,0,8
2025-11-20,SKU-106,Sony WH-1000XM6 Headphones,Audio,6,34999,114,30,0,12
2025-11-20,SKU-107,Apple Watch Series 10 Sport Band,Wearables,75,4999,225,60,0,10
2025-11-20,SKU-101,iPhone 16 Pro Max Case,Mobile Accessories,34,1299,466,100,1,7
2025-11-20,SKU-113,DJI Mini 4 Pro Drone,Drones,9,89999,41,10,0,28
2025-11-21,SKU-110,Logitech MX Master 4S Mouse,PC Accessories,17,9999,163,40,0,12
2025-11-21,SKU-104,Meta Quest 4 VR Headset,Gaming,9,49999,71,20,0,21
2025-11-21,SKU-113,DJI Mini 4 Pro Drone,Drones,11,89999,30,10,1,28
2025-11-22,SKU-108,Tesla Wireless Charging Pad 45W,Charging,22,5999,213,50,1,8
2025-11-22,SKU-115,Nothing Ear 2 Pro TWS Earbuds,Audio,63,12999,157,50,1,10
2025-11-22,SKU-102,Samsung Galaxy S25 Ultra Screen Protector,Mobile Accessories,55,599,645,150,1,5
2025-11-23,SKU-109,Anker Prime Power Bank 27650mAh,Charging,39,8999,161,50,0,10
2025-11-23,SKU-101,iPhone 16 Pro Max Case,Mobile Accessories,59,1299,407,100,0,7
2025-11-23,SKU-107,Apple Watch Series 10 Sport Band,Wearables,36,4999,189,60,0,10
2025-11-23,SKU-111,Razer Viper V3 Pro Gaming Mouse,Gaming,28,14999,122,30,0,14
2025-11-23,SKU-104,Meta Quest 4 VR Headset,Gaming,2,49999,69,20,1,21
2025-11-23,SKU-110,Logitech MX Master 4S Mouse,PC Accessories,22,9999,141,40,1,12
2025-11-24,SKU-107,Apple Watch Series 10 Sport Band,Wearables,46,4999,143,60,0,10
2025-11-24,SKU-111,Razer Viper V3 Pro Gaming Mouse,Gaming,16,14999,106,30,0,14
2025-11-24,SKU-106,Sony WH-1000XM6 Headphones,Audio,4,34999,110,30,0,12
2025-11-24,SKU-110,Logitech MX Master 4S Mouse,PC Accessories,24,9999,117,40,0,12
2025-11-24,SKU-113,DJI Mini 4 Pro Drone,Drones,2,89999,28,10,1,28
2025-11-24,SKU-105,Google Pixel 9 Pro Fold Case,Mobile Accessories,58,1499,342,80,0,7
2025-11-25,SKU-110,Logitech MX Master 4S Mouse,PC Accessories,15,9999,102,40,0,12
2025-11-25,SKU-112,Steam Deck OLED 1TB,Gaming,9,64999,51,15,0,21
2025-11-25,SKU-111,Razer Viper V3 Pro Gaming Mouse,Gaming,48,14999,58,30,0,14
2025-11-25,SKU-105,Google Pixel 9 Pro Fold Case,Mobile Accessories,38,1499,304,80,1,7
2025-11-26,SKU-102,Samsung Galaxy S25 Ultra Screen Protector,Mobile Accessories,28,599,617,150,0,5
2025-11-26,SKU-114,GoPro Hero 13 Black,Cameras,4,54999,94,25,0,18
2025-11-26,SKU-108,Tesla Wireless Charging Pad 45W,Charging,32,5999,181,50,0,8
2025-11-26,SKU-115,Nothing Ear 2 Pro TWS Earbuds,Audio,35,12999,122,50,1,10
2025-11-27,SKU-105,Google Pixel 9 Pro Fold Case,Mobile Accessories,78,1499,226,80,0,7
2025-11-27,SKU-111,Razer Viper V3 Pro Gaming Mouse,Gaming,11,14999,47,30,0,14
2025-11-27,SKU-112,Steam Deck OLED 1TB,Gaming,13,64999,38,15,1,21
2025-11-27,SKU-115,Nothing Ear 2 Pro TWS Earbuds,Audio,44,12999,78,50,0,10
2025-11-28,SKU-101,iPhone 16 Pro Max Case,Mobile Accessories,65,1299,342,100,1,7
2025-11-28,SKU-113,DJI Mini 4 Pro Drone,Drones,6,89999,22,10,0,28
2025-11-28,SKU-104,Meta Quest 4 VR Headset,Gaming,2,49999,67,20,0,21
2025-11-29,SKU-114,GoPro Hero 13 Black,Cameras,10,54999,84,25,0,18
2025-11-29,SKU-112,Steam Deck OLED 1TB,Gaming,7,64999,31,15,1,21
2025-11-29,SKU-108,Tesla Wireless Charging Pad 45W,Charging,35,5999,146,50,0,8
2025-11-29,SKU-111,Razer Viper V3 Pro Gaming Mouse,Gaming,29,14999,18,30,0,14
2025-11-29,SKU-103,AirPods Pro 3 (2026),Audio,15,28999,135,40,0,14
2025-11-30,SKU-113,DJI Mini 4 Pro Drone,Drones,11,89999,11,10,0,28
2025-11-30,SKU-108,Tesla Wireless Charging Pad 45W,Charging,26,5999,120,50,0,8
2025-11-30,SKU-110,Logitech MX Master 4S Mouse,PC Accessories,26,9999,76,40,0,12
2025-11-30,SKU-105,Google Pixel 9 Pro Fold Case,Mobile Accessories,106,1499,120,80,1,7
2025-11-30,SKU-114,GoPro Hero 13 Black,Cameras,11,54999,73,25,0,18
2025-12-01,SKU-111,Razer Viper V3 Pro Gaming Mouse,Gaming,39,14999,129,30,0,14
2025-12-01,SKU-113,DJI Mini 4 Pro Drone,Drones,10,89999,1,10,1,28
2025-12-01,SKU-102,Samsung Galaxy S25 Ultra Screen Protector,Mobile Accessories,28,599,589,150,0,5
2025-12-01,SKU-107,Apple Watch Series 10 Sport Band,Wearables,67,4999,76,60,0,10
2025-12-01,SKU-115,Nothing Ear 2 Pro TWS Earbuds,Audio,11,12999,67,50,0,10
2025-12-02,SKU-108,Tesla Wireless Charging Pad 45W,Charging,28,5999,92,50,0,8
